record_id,location_id,amount,raw_payload
REC-001,LOC_101,10.00,Payload for A REC-001
REC-002,LOC_102,20.00,Payload for A REC-002
REC-003,LOC_201,30.00,Payload for A REC-003
REC-004,LOC_202,40.00,Payload for A REC-004
REC-005,LOC_301,.50,Payload for A REC-005
REC-006,LOC_101,"1,200.00",Payload for A REC-006
REC-007,LOC_102,70.00,Payload for A REC-007
REC-008,LOC_201,80.00,Payload for A REC-008
REC-009,LOC_202,90.00,Payload for A REC-009
REC-010,LOC_301,100.00,Payload for A REC-010
REC-011,LOC_101,110.00,Payload for A REC-011
REC-012,LOC_102,120.00,Payload for A REC-012
REC-013,LOC_201,130.00,Payload for A REC-013
REC-014,LOC_202,140.00,Payload for A REC-014
REC-015,LOC_301,100.00,Payload for A REC-015
REC-016,LOC_101,250.00,Payload for A REC-016
REC-017,LOC_102,80.00,Payload for A REC-017
REC-018,LOC_201,500.00,Payload for A REC-018
REC-019,LOC_202,190.00,Payload for A REC-019
REC-020,LOC_301,200.00,Payload for A REC-020
REC-021,LOC_101,210.00,Payload for A REC-021
REC-022,LOC_102,220.00,Payload for A REC-022
REC-023,LOC_201,230.00,Payload for A REC-023
REC-024,LOC_202,240.00,Payload for A REC-024
REC-025,LOC_301,250.00,Payload for A REC-025
REC-026,LOC_101,260.00,Payload for A REC-026
REC-027,LOC_102,270.00,Payload for A REC-027
REC-028,LOC_201,280.00,Payload for A REC-028
REC-029,LOC_202,290.00,Payload for A REC-029
REC-030,LOC_301,300.00,Payload for A REC-030
REC-031,LOC_101,310.00,Payload for A REC-031
REC-032,LOC_102,320.00,Payload for A REC-032
REC-033,LOC_201,330.00,Payload for A REC-033
REC-034,LOC_202,340.00,Payload for A REC-034
REC-035,LOC_301,350.00,Payload for A REC-035
REC-036,LOC_101,360.00,Payload for A REC-036
REC-037,LOC_102,370.00,Payload for A REC-037
REC-038,LOC_201,380.00,Payload for A REC-038
REC-039,LOC_202,390.00,Payload for A REC-039
REC-040,LOC_301,400.00,Payload for A REC-040
REC-041,LOC_101,410.00,Payload for A REC-041
REC-042,LOC_102,420.00,Payload for A REC-042
REC-043,LOC_201,430.00,Payload for A REC-043
REC-044,LOC_202,440.00,Payload for A REC-044
REC-045,LOC_301,450.00,Payload for A REC-045
REC-046,LOC_101,460.00,Payload for A REC-046
REC-047,LOC_102,470.00,Payload for A REC-047
REC-048,LOC_201,480.00,Payload for A REC-048
REC-049,LOC_202,490.00,Payload for A REC-049
REC-050,LOC_301,500.00,Payload for A REC-050
REC-051,LOC_101,510.00,Payload for A REC-051
REC-052,LOC_102,520.00,Payload for A REC-052
REC-053,LOC_201,530.00,Payload for A REC-053
REC-054,LOC_202,540.00,Payload for A REC-054
REC-055,LOC_301,550.00,Payload for A REC-055
REC-056,LOC_101,560.00,Payload for A REC-056
REC-057,LOC_102,570.00,Payload for A REC-057
REC-058,LOC_201,580.00,Payload for A REC-058
REC-059,LOC_202,590.00,Payload for A REC-059
REC-060,LOC_301,600.00,Payload for A REC-060
REC-061,LOC_101,610.00,Payload for A REC-061
REC-062,LOC_102,620.00,Payload for A REC-062
REC-063,LOC_201,630.00,Payload for A REC-063
REC-064,LOC_202,640.00,Payload for A REC-064
REC-065,LOC_301,650.00,Payload for A REC-065
REC-066,LOC_101,660.00,Payload for A REC-066
REC-067,LOC_102,670.00,Payload for A REC-067
REC-068,LOC_201,680.00,Payload for A REC-068
REC-069,LOC_202,690.00,Payload for A REC-069
REC-070,LOC_301,700.00,Payload for A REC-070
REC-071,LOC_101,710.00,Payload for A REC-071
REC-072,LOC_102,720.00,Payload for A REC-072
REC-073,LOC_201,730.00,Payload for A REC-073
REC-074,LOC_202,740.00,Payload for A REC-074
REC-075,LOC_301,750.00,Payload for A REC-075
REC-076,LOC_101,760.00,Payload for A REC-076
REC-077,LOC_102,770.00,Payload for A REC-077
REC-078,LOC_201,780.00,Payload for A REC-078
REC-079,LOC_202,790.00,Payload for A REC-079
REC-080,LOC_301,800.00,Payload for A REC-080
REC-081,LOC_101,810.00,Payload for A REC-081
REC-082,LOC_102,820.00,Payload for A REC-082
REC-083,LOC_201,830.00,Payload for A REC-083
REC-084,LOC_202,840.00,Payload for A REC-084
REC-085,LOC_301,850.00,Payload for A REC-085
REC-086,LOC_101,860.00,Payload for A REC-086
REC-087,LOC_102,870.00,Payload for A REC-087
REC-088,LOC_201,880.00,Payload for A REC-088
REC-089,LOC_202,890.00,Payload for A REC-089
REC-090,LOC_301,900.00,Payload for A REC-090
REC-091,LOC_101,910.00,Payload for A REC-091
REC-092,LOC_102,920.00,Payload for A REC-092
REC-093,LOC_201,930.00,Payload for A REC-093
REC-094,LOC_202,940.00,Payload for A REC-094
REC-095,LOC_301,950.00,Payload for A REC-095
REC-096,LOC_101,960.00,Payload for A REC-096
REC-097,LOC_102,970.00,Payload for A REC-097
REC-098,LOC_201,980.00,Payload for A REC-098
REC-099,LOC_202,990.00,Payload for A REC-099
REC-100,LOC_301,1000.00,Payload for A REC-100
REC-101,LOC_101,1010.00,Payload for A REC-101
REC-102,LOC_102,1020.00,Payload for A REC-102
REC-103,LOC_201,1030.00,Payload for A REC-103
REC-104,LOC_202,1040.00,Payload for A REC-104
REC-105,LOC_301,1050.00,Payload for A REC-105
REC-106,LOC_101,1060.00,Payload for A REC-106
REC-107,LOC_102,1070.00,Payload for A REC-107
REC-108,LOC_201,1080.00,Payload for A REC-108
REC-109,LOC_202,1090.00,Payload for A REC-109
REC-110,LOC_301,1100.00,Payload for A REC-110
REC-111,LOC_101,1110.00,Payload for A REC-111
REC-112,LOC_102,1120.00,Payload for A REC-112
REC-113,LOC_201,1130.00,Payload for A REC-113
REC-114,LOC_202,1140.00,Payload for A REC-114
REC-115,LOC_301,1150.00,Payload for A REC-115
REC-116,LOC_101,1160.00,Payload for A REC-116
REC-117,LOC_102,1170.00,Payload for A REC-117
REC-118,LOC_201,1180.00,Payload for A REC-118
REC-119,LOC_202,1190.00,Payload for A REC-119
REC-120,LOC_301,1200.00,Payload for A REC-120
