record_ref,location_id,amount,raw_payload
REC-001,LOC_101,10.00,Payload for B REC-001
 rec_002 ,LOC_102,20.00,Payload for B  rec_002 
REC003,LOC_201,30.00,Payload for B REC003
004,LOC_202,40.00,Payload for B 004
REC-005,LOC_301,120.50,Payload for B REC-005
REC-006,LOC_101,",200.00",Payload for B REC-006
REC-007,LOC_102,70.00,Payload for B REC-007
REC-008,LOC_201,80.00,Payload for B REC-008
REC-009,LOC_202,90.00,Payload for B REC-009
REC-010,LOC_301,100.00,Payload for B REC-010
REC-011,LOC_101,110.00,Payload for B REC-011
REC-012,LOC_102,120.00,Payload for B REC-012
REC-013,LOC_201,130.00,Payload for B REC-013
REC-014,LOC_202,140.00,Payload for B REC-014
REC-015,LOC_301,150.00,Payload for B REC-015
REC-016,LOC_101,.50,Payload for B REC-016
REC-017,LOC_102,90.00,Payload for B REC-017
REC-018,LOC_201,N/A,Payload for B REC-018
REC-019,LOC_202,INVALID,Payload for B REC-019
REC-020,LOC_301,200.00,Payload for B REC-020
REC-021,LOC_101,210.00,Payload for B REC-021
REC-022,LOC_102,220.00,Payload for B REC-022
REC-023,LOC_201,230.00,Payload for B REC-023
REC-024,LOC_202,240.00,Payload for B REC-024
REC-025,LOC_301,250.00,Payload for B REC-025
REC-026,LOC_101,260.00,Payload for B REC-026
REC-027,LOC_102,270.00,Payload for B REC-027
REC-028,LOC_201,280.00,Payload for B REC-028
REC-029,LOC_202,290.00,Payload for B REC-029
REC-030,LOC_301,300.00,Payload for B REC-030
REC-031,LOC_101,310.00,Payload for B REC-031
REC-032,LOC_102,320.00,Payload for B REC-032
REC-033,LOC_201,330.00,Payload for B REC-033
REC-034,LOC_202,340.00,Payload for B REC-034
REC-035,LOC_301,350.00,Payload for B REC-035
REC-036,LOC_101,360.00,Payload for B REC-036
REC-037,LOC_102,370.00,Payload for B REC-037
REC-038,LOC_201,380.00,Payload for B REC-038
REC-039,LOC_202,390.00,Payload for B REC-039
REC-040,LOC_301,400.00,Payload for B REC-040
REC-041,LOC_101,410.00,Payload for B REC-041
REC-042,LOC_102,420.00,Payload for B REC-042
REC-043,LOC_201,430.00,Payload for B REC-043
REC-044,LOC_202,440.00,Payload for B REC-044
REC-045,LOC_301,450.00,Payload for B REC-045
REC-046,LOC_101,460.00,Payload for B REC-046
REC-047,LOC_102,470.00,Payload for B REC-047
REC-048,LOC_201,480.00,Payload for B REC-048
REC-049,LOC_202,490.00,Payload for B REC-049
REC-050,LOC_301,500.00,Payload for B REC-050
REC-051,LOC_101,510.00,Payload for B REC-051
REC-052,LOC_102,520.00,Payload for B REC-052
REC-053,LOC_201,530.00,Payload for B REC-053
REC-054,LOC_202,540.00,Payload for B REC-054
REC-055,LOC_301,550.00,Payload for B REC-055
